# TkinAver	Flux	ErrInf	ErrSup
# - Original File in Kinetic Energy/nuc
5.70000e-01 1.31000e+00 3.04795e-01 3.04795e-01
7.30000e-01 2.32000e+00 2.81603e-01 2.81603e-01
9.10000e-01 1.91000e+00 1.55242e-01 1.55242e-01
1.11000e+00 1.55000e+00 1.01980e-01 1.01980e-01
1.33000e+00 1.34000e+00 8.06226e-02 8.06226e-02
1.58000e+00 1.06000e+00 5.09902e-02 5.09902e-02
1.85000e+00 8.01000e-01 3.83275e-02 3.83275e-02
2.15000e+00 6.19000e-01 2.82843e-02 2.82843e-02
2.47000e+00 4.59000e-01 1.92354e-02 1.92354e-02
2.82000e+00 3.43000e-01 1.41421e-02 1.41421e-02
3.17000e+00 2.78000e-01 1.11803e-02 1.11803e-02
3.54000e+00 2.12000e-01 8.06226e-03 8.06226e-03
3.92000e+00 1.64000e-01 6.08276e-03 6.08276e-03
4.32000e+00 1.28000e-01 4.12311e-03 4.12311e-03
4.76000e+00 9.86000e-02 3.27567e-03 3.27567e-03
5.24000e+00 7.76000e-02 2.45153e-03 2.45153e-03
5.74000e+00 5.94000e-02 1.84391e-03 1.84391e-03
6.26000e+00 4.69000e-02 1.45602e-03 1.45602e-03
6.81000e+00 3.74000e-02 1.14017e-03 1.14017e-03
7.39000e+00 2.94000e-02 9.21954e-04 9.21954e-04
7.99000e+00 2.34000e-02 7.28011e-04 7.28011e-04
8.62000e+00 1.91000e-02 5.38517e-04 5.38517e-04
9.28000e+00 1.50000e-02 4.47214e-04 4.47214e-04
9.96000e+00 1.25000e-02 4.12311e-04 4.12311e-04
1.07000e+01 1.01000e-02 3.16228e-04 3.16228e-04
1.14000e+01 8.30000e-03 2.32594e-04 2.32594e-04
1.22000e+01 6.81000e-03 1.92354e-04 1.92354e-04
1.30000e+01 5.76000e-03 1.61245e-04 1.61245e-04
1.38000e+01 4.60000e-03 1.30384e-04 1.30384e-04
1.47000e+01 3.84000e-03 1.08167e-04 1.08167e-04
1.56000e+01 3.33000e-03 9.43398e-05 9.43398e-05
1.65000e+01 2.81000e-03 8.60233e-05 8.60233e-05
1.75000e+01 2.37000e-03 7.21110e-05 7.21110e-05
1.85000e+01 2.01000e-03 6.40312e-05 6.40312e-05
1.95000e+01 1.74000e-03 5.00000e-05 5.00000e-05
2.06000e+01 1.44000e-03 5.00000e-05 5.00000e-05
2.17000e+01 1.22000e-03 4.24264e-05 4.24264e-05
2.28000e+01 1.05000e-03 3.60555e-05 3.60555e-05
2.40000e+01 9.33000e-04 3.18277e-05 3.18277e-05
2.52000e+01 7.88000e-04 2.75862e-05 2.75862e-05
2.66000e+01 6.63000e-04 2.40416e-05 2.40416e-05
2.80000e+01 5.94000e-04 2.19317e-05 2.19317e-05
2.94000e+01 5.20000e-04 1.91050e-05 1.91050e-05
3.10000e+01 4.33000e-04 1.62788e-05 1.62788e-05
3.27000e+01 3.76000e-04 1.48661e-05 1.48661e-05
3.44000e+01 3.20000e-04 1.28062e-05 1.28062e-05
3.63000e+01 2.69000e-04 1.14017e-05 1.14017e-05
3.83000e+01 2.43000e-04 1.06302e-05 1.06302e-05
4.05000e+01 2.11000e-04 9.21954e-06 9.21954e-06
4.28000e+01 1.70000e-04 7.81025e-06 7.81025e-06
4.53000e+01 1.56000e-04 7.21110e-06 7.21110e-06
4.79000e+01 1.22000e-04 5.83095e-06 5.83095e-06
5.08000e+01 1.08000e-04 5.83095e-06 5.83095e-06
5.39000e+01 9.37000e-05 4.99299e-06 4.99299e-06
5.73000e+01 7.55000e-05 4.21901e-06 4.21901e-06
6.10000e+01 6.53000e-05 3.72156e-06 3.72156e-06
6.51000e+01 5.41000e-05 3.22490e-06 3.22490e-06
6.96000e+01 4.78000e-05 2.86531e-06 2.86531e-06
7.46000e+01 3.89000e-05 2.41868e-06 2.41868e-06
8.03000e+01 2.88000e-05 1.92354e-06 1.92354e-06
8.67000e+01 2.76000e-05 1.83576e-06 1.83576e-06
9.40000e+01 2.08000e-05 1.47648e-06 1.47648e-06
1.03000e+02 1.53000e-05 1.16619e-06 1.16619e-06
1.13000e+02 1.15000e-05 8.94427e-07 8.94427e-07
1.25000e+02 8.56000e-06 7.37902e-07 7.37902e-07
1.40000e+02 6.21000e-06 5.86003e-07 5.86003e-07
1.59000e+02 5.23000e-06 5.00899e-07 5.00899e-07
1.83000e+02 3.19000e-06 3.49285e-07 3.49285e-07
2.16000e+02 2.08000e-06 2.50799e-07 2.50799e-07
2.62000e+02 1.21000e-06 1.83848e-07 1.83848e-07
3.27000e+02 6.17000e-07 1.25873e-07 1.25873e-07
4.29000e+02 2.47000e-07 7.62430e-08 7.62430e-08
