# TkinAver	Flux	ErrInf	ErrSup
# - Original File in Kinetic Energy/nuc
4.92400e-01 8.30400e+02 3.55200e+01 3.55200e+01
6.20700e-01 8.29600e+02 2.83000e+01 2.83000e+01
7.63700e-01 7.70900e+02 2.12200e+01 2.12200e+01
9.25200e-01 7.01300e+02 1.74800e+01 1.74800e+01
1.10500e+00 6.24100e+02 1.41900e+01 1.41900e+01
1.30300e+00 5.49800e+02 1.14500e+01 1.14500e+01
1.52300e+00 4.78100e+02 9.19700e+00 9.19700e+00
1.76500e+00 4.13500e+02 7.35800e+00 7.35800e+00
2.03400e+00 3.54000e+02 5.90300e+00 5.90300e+00
2.32900e+00 3.00900e+02 4.80300e+00 4.80300e+00
2.65200e+00 2.54100e+02 3.83500e+00 3.83500e+00
3.00500e+00 2.12900e+02 3.09000e+00 3.09000e+00
3.39000e+00 1.77300e+02 2.56300e+00 2.56300e+00
3.81000e+00 1.46700e+02 2.04000e+00 2.04000e+00
4.27200e+00 1.20400e+02 1.62700e+00 1.62700e+00
4.77400e+00 9.82400e+01 1.31800e+00 1.31800e+00
5.31700e+00 7.99300e+01 1.05200e+00 1.05200e+00
5.90600e+00 6.48100e+01 8.38200e-01 8.38200e-01
6.54600e+00 5.23800e+01 6.75600e-01 6.75600e-01
7.23600e+00 4.22800e+01 5.43700e-01 5.43700e-01
7.98100e+00 3.40500e+01 4.32500e-01 4.32500e-01
8.78700e+00 2.73700e+01 3.41700e-01 3.41700e-01
9.65300e+00 2.19900e+01 2.81300e-01 2.81300e-01
1.06000e+01 1.76400e+01 2.21000e-01 2.21000e-01
1.16000e+01 1.42100e+01 1.80800e-01 1.80800e-01
1.26400e+01 1.15100e+01 1.50400e-01 1.50400e-01
1.37900e+01 9.28500e+00 1.18300e-01 1.18300e-01
1.50400e+01 7.47300e+00 9.52100e-02 9.52100e-02
1.63900e+01 6.00400e+00 7.71700e-02 7.71700e-02
1.78400e+01 4.83800e+00 6.21100e-02 6.21100e-02
1.93800e+01 3.89800e+00 5.00900e-02 5.00900e-02
2.10300e+01 3.15400e+00 4.10900e-02 4.10900e-02
2.28300e+01 2.54000e+00 3.30400e-02 3.30400e-02
2.47800e+01 2.04100e+00 2.60400e-02 2.60400e-02
2.68300e+01 1.65100e+00 2.10400e-02 2.10400e-02
2.90300e+01 1.33600e+00 1.70400e-02 1.70400e-02
3.13800e+01 1.08200e+00 1.40400e-02 1.40400e-02
3.38700e+01 8.79400e-01 1.15200e-02 1.15200e-02
3.65700e+01 7.13400e-01 9.31600e-03 9.31600e-03
3.94700e+01 5.79500e-01 7.61800e-03 7.61800e-03
4.25700e+01 4.71700e-01 6.21400e-03 6.21400e-03
4.58700e+01 3.84000e-01 5.11700e-03 5.11700e-03
4.94200e+01 3.12900e-01 4.21100e-03 4.21100e-03
5.32200e+01 2.54900e-01 3.41400e-03 3.41400e-03
5.72700e+01 2.08000e-01 2.80700e-03 2.80700e-03
6.16200e+01 1.70100e-01 2.30900e-03 2.30900e-03
6.63200e+01 1.39300e-01 1.91100e-03 1.91100e-03
7.13700e+01 1.13200e-01 1.51300e-03 1.51300e-03
7.67700e+01 9.26400e-02 1.27700e-03 1.27700e-03
8.25700e+01 7.53000e-02 1.04700e-03 1.04700e-03
8.88200e+01 6.14600e-02 8.55900e-04 8.55900e-04
9.55700e+01 5.02600e-02 7.05800e-04 7.05800e-04
1.03100e+02 4.08500e-02 5.84200e-04 5.84200e-04
1.11100e+02 3.29400e-02 4.75200e-04 4.75200e-04
1.19600e+02 2.69800e-02 3.94600e-04 3.94600e-04
1.29100e+02 2.17400e-02 3.23900e-04 3.23900e-04
1.40100e+02 1.72700e-02 2.63100e-04 2.63100e-04
1.52600e+02 1.35800e-02 2.12100e-04 2.12100e-04
1.66600e+02 1.06500e-02 1.72600e-04 1.72600e-04
1.82600e+02 8.21200e-03 1.35000e-04 1.35000e-04
2.00600e+02 6.29900e-03 1.05700e-04 1.05700e-04
2.21100e+02 4.79300e-03 8.43500e-05 8.43500e-05
2.45100e+02 3.60500e-03 6.61000e-05 6.61000e-05
2.74100e+02 2.64700e-03 4.98200e-05 4.98200e-05
3.09600e+02 1.88400e-03 3.76600e-05 3.76600e-05
3.53600e+02 1.28800e-03 2.74600e-05 2.74600e-05
4.09100e+02 8.69500e-04 1.98700e-05 1.98700e-05
4.82100e+02 5.54500e-04 1.37500e-05 1.37500e-05
5.83100e+02 3.35700e-04 9.35600e-06 9.35600e-06
7.31600e+02 1.86000e-04 6.08300e-06 6.08300e-06
9.75100e+02 8.57100e-05 3.58900e-06 3.58900e-06
1.46400e+03 2.93300e-05 1.74300e-06 1.74300e-06
