# Rigidity	Flux	ErrInf	ErrSup
# - Original File in Rigidity
1.08000e+00 1.22900e+03 3.47131e+01 3.47131e+01
1.25000e+00 1.18600e+03 2.66833e+01 2.66833e+01
1.42000e+00 1.09600e+03 2.06155e+01 2.06155e+01
1.61000e+00 9.83600e+02 1.58398e+01 1.58398e+01
1.81000e+00 8.60000e+02 1.25686e+01 1.25686e+01
2.04000e+00 7.40600e+02 1.00000e+01 1.00000e+01
2.27000e+00 6.21600e+02 7.96994e+00 7.96994e+00
2.54000e+00 5.22300e+02 6.29365e+00 6.29365e+00
2.82000e+00 4.31200e+02 5.02892e+00 5.02892e+00
3.13000e+00 3.58200e+02 4.11096e+00 4.11096e+00
3.46000e+00 2.93400e+02 3.28938e+00 3.28938e+00
3.83000e+00 2.40100e+02 2.62488e+00 2.62488e+00
4.22000e+00 1.94700e+02 2.11896e+00 2.11896e+00
4.65000e+00 1.58200e+02 1.67631e+00 1.67631e+00
5.12000e+00 1.28600e+02 1.36015e+00 1.36015e+00
5.63000e+00 1.02300e+02 1.17047e+00 1.17047e+00
6.19000e+00 8.27300e+01 9.10824e-01 9.10824e-01
6.78000e+00 6.61300e+01 7.33894e-01 7.33894e-01
7.42000e+00 5.31100e+01 5.94643e-01 5.94643e-01
8.12000e+00 4.23100e+01 4.81041e-01 4.81041e-01
8.87000e+00 3.42700e+01 3.95601e-01 3.95601e-01
9.68000e+00 2.71400e+01 3.13847e-01 3.13847e-01
1.06000e+01 2.17100e+01 2.50799e-01 2.50799e-01
1.20000e+01 1.57400e+01 1.80278e-01 1.80278e-01
1.48000e+01 9.19400e+00 1.07005e-01 1.07005e-01
1.97000e+01 4.30200e+00 5.16624e-02 5.16624e-02
2.81000e+01 1.66200e+00 2.08806e-02 2.08806e-02
4.10000e+01 5.73400e-01 7.44648e-03 7.44648e-03
5.91000e+01 2.04300e-01 2.77849e-03 2.77849e-03
8.48000e+01 7.40400e-02 1.11826e-03 1.11826e-03
