# Rigidity	Flux	ErrInf	ErrSup
# - Original File in Rigidity
1.81000e+00 1.23000e+02 3.22025e+00 3.22025e+00
2.04000e+00 1.08700e+02 2.41868e+00 2.41868e+00
2.27000e+00 9.47700e+01 1.84166e+00 1.84166e+00
2.54000e+00 8.15400e+01 1.44516e+00 1.44516e+00
2.82000e+00 6.97200e+01 1.17068e+00 1.17068e+00
3.13000e+00 5.94600e+01 9.80051e-01 9.80051e-01
3.46000e+00 5.01900e+01 8.08022e-01 8.08022e-01
3.83000e+00 4.14500e+01 6.52150e-01 6.52150e-01
4.22000e+00 3.40300e+01 5.30094e-01 5.30094e-01
4.65000e+00 2.83200e+01 4.30116e-01 4.30116e-01
5.12000e+00 2.25400e+01 3.44093e-01 3.44093e-01
5.63000e+00 1.86800e+01 2.86007e-01 2.86007e-01
6.19000e+00 1.50400e+01 2.36008e-01 2.36008e-01
6.78000e+00 1.21500e+01 1.92094e-01 1.92094e-01
7.42000e+00 1.02000e+01 1.64012e-01 1.64012e-01
8.12000e+00 8.19800e+00 1.33060e-01 1.33060e-01
8.87000e+00 6.40100e+00 1.05759e-01 1.05759e-01
9.68000e+00 5.23400e+00 8.86172e-02 8.86172e-02
1.06000e+01 4.16600e+00 7.21803e-02 7.21803e-02
1.20000e+01 3.02600e+00 4.74342e-02 4.74342e-02
1.48000e+01 1.82700e+00 2.83019e-02 2.83019e-02
1.97000e+01 8.70400e-01 1.34332e-02 1.34332e-02
2.81000e+01 3.40700e-01 5.52268e-03 5.52268e-03
4.10000e+01 1.20700e-01 2.26716e-03 2.26716e-03
5.91000e+01 4.47700e-02 1.01237e-03 1.01237e-03
8.48000e+01 1.64000e-02 4.72017e-04 4.72017e-04
