# Rigidity	Flux	ErrInf	ErrSup
# - Original File in Rigidity
1.08000e+00 8.24700e+02 1.25064e+01 1.25064e+01
1.24500e+00 7.98600e+02 1.05043e+01 1.05043e+01
1.42000e+00 7.60100e+02 9.00222e+00 9.00222e+00
1.61000e+00 7.05500e+02 8.00250e+00 8.00250e+00
1.81500e+00 6.39800e+02 7.10070e+00 7.10070e+00
2.03500e+00 5.67200e+02 6.20081e+00 6.20081e+00
2.27500e+00 4.93300e+02 5.40093e+00 5.40093e+00
2.53500e+00 4.24800e+02 4.60109e+00 4.60109e+00
2.82000e+00 3.61900e+02 4.00125e+00 4.00125e+00
3.13000e+00 3.06200e+02 3.30152e+00 3.30152e+00
3.46500e+00 2.57100e+02 2.80000e+00 2.80000e+00
3.83000e+00 2.14500e+02 2.30000e+00 2.30000e+00
4.22500e+00 1.77900e+02 1.90000e+00 1.90000e+00
4.65500e+00 1.46500e+02 1.60000e+00 1.60000e+00
5.12500e+00 1.19700e+02 1.30000e+00 1.30000e+00
5.63500e+00 9.72900e+01 1.04019e+00 1.04019e+00
6.18500e+00 7.88300e+01 8.40059e-01 8.40059e-01
6.78000e+00 6.37100e+01 6.70075e-01 6.70075e-01
7.42500e+00 5.13800e+01 5.40093e-01 5.40093e-01
8.12000e+00 4.13900e+01 4.30116e-01 4.30116e-01
8.87000e+00 3.33100e+01 3.40147e-01 3.40147e-01
9.68000e+00 2.67900e+01 2.70000e-01 2.70000e-01
1.05500e+01 2.15500e+01 2.10000e-01 2.10000e-01
1.15000e+01 1.73100e+01 1.70000e-01 1.70000e-01
1.25000e+01 1.39500e+01 1.40000e-01 1.40000e-01
1.35500e+01 1.13200e+01 1.10000e-01 1.10000e-01
1.47000e+01 9.14100e+00 8.60232e-02 8.60232e-02
1.59500e+01 7.36300e+00 6.80294e-02 6.80294e-02
1.73000e+01 5.92900e+00 5.40093e-02 5.40093e-02
1.87500e+01 4.77400e+00 4.20119e-02 4.20119e-02
2.03000e+01 3.85000e+00 3.40147e-02 3.40147e-02
2.19500e+01 3.11000e+00 2.80179e-02 2.80179e-02
2.37500e+01 2.50600e+00 2.30217e-02 2.30217e-02
2.57000e+01 2.01300e+00 1.80278e-02 1.80278e-02
2.77500e+01 1.62800e+00 1.50000e-02 1.50000e-02
2.99500e+01 1.31600e+00 1.20000e-02 1.20000e-02
3.23000e+01 1.06600e+00 1.00000e-02 1.00000e-02
3.48000e+01 8.64900e-01 8.20549e-03 8.20549e-03
3.75000e+01 7.01800e-01 6.80661e-03 6.80661e-03
4.04000e+01 5.70200e-01 5.60357e-03 5.60357e-03
4.35000e+01 4.63700e-01 4.60435e-03 4.60435e-03
4.68000e+01 3.77500e-01 3.80526e-03 3.80526e-03
5.03500e+01 3.07400e-01 3.10645e-03 3.10645e-03
5.41500e+01 2.50800e-01 2.60192e-03 2.60192e-03
5.82000e+01 2.04800e-01 2.10238e-03 2.10238e-03
6.25500e+01 1.67400e-01 1.80278e-03 1.80278e-03
6.72500e+01 1.36900e-01 1.50333e-03 1.50333e-03
7.23000e+01 1.11600e-01 1.20416e-03 1.20416e-03
7.77000e+01 9.12400e-02 1.01242e-03 1.01242e-03
8.35000e+01 7.44500e-02 8.42140e-04 8.42140e-04
8.97500e+01 6.06700e-02 6.91809e-04 6.91809e-04
9.65000e+01 4.95100e-02 5.82151e-04 5.82151e-04
1.04000e+02 4.00900e-02 4.81664e-04 4.81664e-04
1.12000e+02 3.25300e-02 3.91152e-04 3.91152e-04
1.20500e+02 2.64700e-02 3.31361e-04 3.31361e-04
1.30000e+02 2.13700e-02 2.71662e-04 2.71662e-04
1.41000e+02 1.70200e-02 2.20907e-04 2.20907e-04
1.53500e+02 1.34100e-02 1.81108e-04 1.81108e-04
1.67500e+02 1.05200e-02 1.50333e-04 1.50333e-04
1.83500e+02 8.16600e-03 1.18609e-04 1.18609e-04
2.01500e+02 6.26900e-03 9.55249e-05 9.55249e-05
2.22000e+02 4.79000e-03 7.64199e-05 7.64199e-05
2.46000e+02 3.62700e-03 6.12944e-05 6.12944e-05
2.75000e+02 2.67400e-03 4.82597e-05 4.82597e-05
3.10500e+02 1.91400e-03 3.72156e-05 3.72156e-05
3.54500e+02 1.34300e-03 2.81603e-05 2.81603e-05
4.10000e+02 8.95700e-04 2.08959e-05 2.08959e-05
4.83000e+02 5.75200e-04 1.49656e-05 1.49656e-05
5.84000e+02 3.43200e-04 1.00404e-05 1.00404e-05
7.32500e+02 1.90500e-04 6.32851e-06 6.32851e-06
9.76000e+02 9.06800e-05 3.52196e-06 3.52196e-06
1.46500e+03 3.26000e-05 1.60449e-06 1.60449e-06
