# Rigidity	Modulated 	LIS
1.080014448932235416e+00 8.045189949757130989e+02 5.437902796551819847e+03
1.244923477276254076e+00 8.022670226742827708e+02 4.474073886034942007e+03
1.420144600430251813e+00 7.643556154465632062e+02 3.619070213858507941e+03
1.609986508534776428e+00 7.133476751704504295e+02 2.890176492921536919e+03
1.815094208214218297e+00 6.460225882430702313e+02 2.290671841971596677e+03
2.034994836567011856e+00 5.687344505708076667e+02 1.807575965251639218e+03
2.275089700683997407e+00 4.982556573861447191e+02 1.418675969356438145e+03
2.534944892150833518e+00 4.285327198978055208e+02 1.108807666324315278e+03
2.820050047142284022e+00 3.652004799715898002e+02 8.634568930352273810e+02
3.129903284862840529e+00 3.063619406192379984e+02 6.711859301139264744e+02
3.465035355054260080e+00 2.550849609416166288e+02 5.221753176574691224e+02
3.829480197545353626e+00 2.131161366962611226e+02 4.066028724196057738e+02
4.224511350826743339e+00 1.760582140503014159e+02 3.169756117530487245e+02
4.654499658838530785e+00 1.442393131944322420e+02 2.474759878645815832e+02
5.125844893779755829e+00 1.178447932042684698e+02 1.930737616544179787e+02
5.634260217935270987e+00 9.610885083217189617e+01 1.509503932579359855e+02
6.184097218820546082e+00 7.779469299451872644e+01 1.183190027523519063e+02
6.779630731320992254e+00 6.329751443141521605e+01 9.284537896738771678e+01
7.425084503215299669e+00 5.130724158377365285e+01 7.290036008658402977e+01
8.120542315158022717e+00 4.137729549311541888e+01 5.735359230980753864e+01
8.870220067335420566e+00 3.333352468252580536e+01 4.517453294624738191e+01
9.680336360946142804e+00 2.692751355616912434e+01 3.559438610055943997e+01
1.055096675885958746e+01 2.174388836506743417e+01 2.809499684563749611e+01
1.150045069059399871e+01 1.744778655495036190e+01 2.212076601022441125e+01
1.250047747938357645e+01 1.404396141195480752e+01 1.751635664382757085e+01
1.354921218180481546e+01 1.137061509536536263e+01 1.398779131328084091e+01
1.469924594247364702e+01 9.159036050378514204e+00 1.110590480705374006e+01
1.595053788440552900e+01 7.381687910765760030e+00 8.806313852593756764e+00
1.729906115858360494e+01 5.933685348600129750e+00 6.985293661270329579e+00
1.875087796094124215e+01 4.770910843681614111e+00 5.549852905039842632e+00
2.029999414497058652e+01 3.846922098971703008e+00 4.427255882563778222e+00
2.195649921525378190e+01 3.106398088447530625e+00 3.538518497268995144e+00
2.374250102152172204e+01 2.497889360569198303e+00 2.822522019976140939e+00
2.570814671650992267e+01 2.011400450102869719e+00 2.250389759131921519e+00
2.775317472818128195e+01 1.628151340005385528e+00 1.805338455165690581e+00
2.995782871801225866e+01 1.315998348507816829e+00 1.450262133380845420e+00
3.230208240730495106e+01 1.068623454880848422e+00 1.167692375529496784e+00
3.480599443067701770e+01 8.685975671331909176e-01 9.436946927802093432e-01
3.750963324807535315e+01 7.047242950073993040e-01 7.617229556725196860e-01
4.039298010943510775e+01 5.724365443932221131e-01 6.153080791563628749e-01
4.349608320004733031e+01 4.654242450464404768e-01 4.978885572963242523e-01
4.679893636347561170e+01 3.795228725660146352e-01 4.038678902489586942e-01
5.034158099348886850e+01 3.092748012503109267e-01 3.276554814038085128e-01
5.414403487017936811e+01 2.520415509759106887e-01 2.661203236179880971e-01
5.820630249423373215e+01 2.058521240852825562e-01 2.165515452589002743e-01
6.254840088098816153e+01 1.680798358495009248e-01 1.762644610494429331e-01
6.725036978589619707e+01 1.371992209603223600e-01 1.433362712012694884e-01
7.229219474429547176e+01 1.119018700998437449e-01 1.165866926631591999e-01
7.769388126578709830e+01 9.134539974505370696e-02 9.493806165727204649e-02
8.349545927379381283e+01 7.460384504255156146e-02 7.732676750562672563e-02
8.975693182412031490e+01 6.089845998006892386e-02 6.295483916726722640e-02
9.649829980747723823e+01 4.967359734199564697e-02 5.121125275959553108e-02
1.039996155142592897e+02 4.021156293622264732e-02 4.135325566524286622e-02
1.120008246960073137e+02 3.265732863247057527e-02 3.349662149109154663e-02
1.205019335203786710e+02 2.658324094051629435e-02 2.721010957900074287e-02
1.300030011957329918e+02 2.147658294290143849e-02 2.193555628637566118e-02
1.410040577072934980e+02 1.708646416918506786e-02 1.742066802162357125e-02
1.535050744836201204e+02 1.346848711559984688e-02 1.369359482352859765e-02
1.675060331056698431e+02 1.054538419278735518e-02 1.069614777945493596e-02
1.835069495625213563e+02 8.166182737048438903e-03 8.265434091926810237e-03
2.015078066106962353e+02 6.282528796744089004e-03 6.348396222835643241e-03
2.220686115629682149e+02 4.792419209606581243e-03 4.834007654627629422e-03
2.460693848611006445e+02 3.598790867899874513e-03 3.625133486520895620e-03
2.750701552217288395e+02 2.640054845526380867e-03 2.655926695375019578e-03
3.104708790519667332e+02 1.887020465981808582e-03 1.896301329456717092e-03
3.544715829899442952e+02 1.311346665187107345e-03 1.316436867977442780e-03
4.100722624593694832e+02 8.820195702209440844e-04 8.849334667836562893e-04
4.830729112959843974e+02 5.670498146223911613e-04 5.685724527076999307e-04
5.840735415669520307e+02 3.417757205808826144e-04 3.425150187826293108e-04
7.324741163128952621e+02 1.880259180343439682e-04 1.883527157969927795e-04
9.760747522268414968e+02 8.881668498351404041e-05 8.893160464176319124e-05
1.465075294305204807e+03 3.092586816856888804e-05 3.095274253514335519e-05
