# Rigidity	Flux	ErrInf	ErrSup
# - Original File in Rigidity
1.08000e+00 8.54700e+02 2.52293e+01 2.52293e+01
1.25000e+00 8.37400e+02 1.94031e+01 1.94031e+01
1.42000e+00 7.92900e+02 1.51648e+01 1.51648e+01
1.61000e+00 7.24700e+02 1.20208e+01 1.20208e+01
1.81000e+00 6.55800e+02 9.77190e+00 9.77190e+00
2.04000e+00 5.75400e+02 7.90569e+00 7.90569e+00
2.27000e+00 5.03000e+02 6.57875e+00 6.57875e+00
2.54000e+00 4.25800e+02 5.28110e+00 5.28110e+00
2.82000e+00 3.61700e+02 4.33244e+00 4.33244e+00
3.13000e+00 3.03300e+02 3.51141e+00 3.51141e+00
3.46000e+00 2.55200e+02 2.87924e+00 2.87924e+00
3.83000e+00 2.12100e+02 2.43516e+00 2.43516e+00
4.22000e+00 1.75700e+02 2.02485e+00 2.02485e+00
4.65000e+00 1.44500e+02 1.58114e+00 1.58114e+00
5.12000e+00 1.18300e+02 1.26491e+00 1.26491e+00
5.63000e+00 9.57600e+01 1.06283e+00 1.06283e+00
6.19000e+00 7.87700e+01 8.82553e-01 8.82553e-01
6.78000e+00 6.32900e+01 7.15122e-01 7.15122e-01
7.42000e+00 5.12900e+01 5.75847e-01 5.75847e-01
8.12000e+00 4.09800e+01 4.71699e-01 4.71699e-01
8.87000e+00 3.31600e+01 3.86264e-01 3.86264e-01
9.68000e+00 2.67200e+01 3.13847e-01 3.13847e-01
1.06000e+01 2.13400e+01 2.50799e-01 2.50799e-01
1.20000e+01 1.56000e+01 1.80278e-01 1.80278e-01
1.48000e+01 9.10600e+00 1.07005e-01 1.07005e-01
1.97000e+01 4.31900e+00 5.16624e-02 5.16624e-02
2.81000e+01 1.67800e+00 2.08806e-02 2.08806e-02
4.10000e+01 5.85900e-01 7.66942e-03 7.66942e-03
5.91000e+01 2.06900e-01 2.86531e-03 2.86531e-03
8.48000e+01 7.48600e-02 1.15421e-03 1.15421e-03
