# Rigidity	Flux	ErrInf	ErrSup
# - Original File in Rigidity
1.81000e+00 1.25400e+02 3.26497e+00 3.26497e+00
2.04000e+00 1.11800e+02 2.41868e+00 2.41868e+00
2.27000e+00 9.64400e+01 1.86657e+00 1.86657e+00
2.54000e+00 8.43400e+01 1.48946e+00 1.48946e+00
2.82000e+00 7.09900e+01 1.17644e+00 1.17644e+00
3.13000e+00 5.98300e+01 9.70052e-01 9.70052e-01
3.46000e+00 5.07900e+01 8.00000e-01 8.00000e-01
3.83000e+00 4.11000e+01 6.36003e-01 6.36003e-01
4.22000e+00 3.42700e+01 5.22015e-01 5.22015e-01
4.65000e+00 2.79600e+01 4.22019e-01 4.22019e-01
5.12000e+00 2.27000e+01 3.50000e-01 3.50000e-01
5.63000e+00 1.88700e+01 2.86007e-01 2.86007e-01
6.19000e+00 1.51100e+01 2.28035e-01 2.28035e-01
6.78000e+00 1.22200e+01 1.92094e-01 1.92094e-01
7.42000e+00 9.68300e+00 1.52269e-01 1.52269e-01
8.12000e+00 7.80000e+00 1.24964e-01 1.24964e-01
8.87000e+00 6.33100e+00 1.02825e-01 1.02825e-01
9.68000e+00 5.09000e+00 8.49588e-02 8.49588e-02
1.06000e+01 4.08600e+00 7.00357e-02 7.00357e-02
1.20000e+01 3.02600e+00 4.66154e-02 4.66154e-02
1.48000e+01 1.78600e+00 2.69258e-02 2.69258e-02
1.97000e+01 8.60900e-01 1.29865e-02 1.29865e-02
2.81000e+01 3.43200e-01 5.43783e-03 5.43783e-03
4.10000e+01 1.21700e-01 2.20227e-03 2.20227e-03
5.91000e+01 4.56700e-02 1.01237e-03 1.01237e-03
8.48000e+01 1.60800e-02 4.58039e-04 4.58039e-04
